step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_mit-restaurant,eval_crossner_ai,eval_crossner_literature,eval_crossner_music,eval_crossner_politics,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second
10,0.003,1.2268,5.2360076904296875,1.5570888528653944e-05,,,,,,,,,,,
20,0.006,0.7123,1.629346489906311,2.0258193034918973e-05,,,,,,,,,,,
30,0.009,0.4205,0.8016706705093384,2.300009040054531e-05,,,,,,,,,,,
40,0.012,0.2544,0.42251694202423096,2.4945497541184006e-05,,,,,,,,,,,
50,0.015,0.1725,0.3441791832447052,2.6454472551042853e-05,,,,,,,,,,,
60,0.018,0.1284,0.2594148516654968,2.7687394906810338e-05,,,,,,,,,,,
70,0.021,0.1086,0.23171357810497284,2.872981590549987e-05,,,,,,,,,,,
80,0.024,0.0939,0.1753295511007309,2.963280204744903e-05,,,,,,,,,,,
90,0.027,0.0916,0.17131146788597107,3.0429292272436677e-05,,,,,,,,,,,
100,0.03,0.0789,0.16059626638889313,3.114177705730789e-05,,,,,,,,,,,
110,0.032,0.0751,0.1741037368774414,3.178629794380828e-05,,,,,,,,,,,
120,0.035,0.0772,0.1620764136314392,3.2374699413075374e-05,,,,,,,,,,,
130,0.038,0.0677,0.13676868379116058,3.2915976294658783e-05,,,,,,,,,,,
140,0.041,0.0698,0.16234652698040009,3.341712041176489e-05,,,,,,,,,,,
150,0.044,0.0607,0.1334606260061264,3.388367442293422e-05,,,,,,,,,,,
160,0.047,0.0626,0.13293705880641937,3.4320106553714064e-05,,,,,,,,,,,
170,0.05,0.0605,0.10556569695472717,3.4730071523637525e-05,,,,,,,,,,,
180,0.053,0.0579,0.12026913464069366,3.511659677870171e-05,,,,,,,,,,,
190,0.056,0.0508,0.10940780490636826,3.548221830470527e-05,,,,,,,,,,,
200,0.059,0.0508,0.1160915419459343,3.582908156357291e-05,,,,,,,,,,,
210,0.062,0.0466,0.11910602450370789,3.615901777739123e-05,,,,,,,,,,,
220,0.065,0.0544,0.1061333641409874,3.647360245007331e-05,,,,,,,,,,,
230,0.068,0.0502,0.11561954766511917,3.6774200869649036e-05,,,,,,,,,,,
240,0.071,0.0489,0.133303701877594,3.70620039193404e-05,,,,,,,,,,,
250,0.074,0.0465,0.11286173015832901,3.7338056573431765e-05,,,,,,,,,,,
260,0.077,0.046,0.11774593591690063,3.760328080092381e-05,,,,,,,,,,,
270,0.08,0.0472,0.08990752696990967,3.785849414432805e-05,,,,,,,,,,,
280,0.083,0.0458,0.121788889169693,3.810442491802993e-05,,,,,,,,,,,
290,0.086,0.0422,0.0980578064918518,3.834172473846529e-05,,,,,,,,,,,
300,0.089,0.0437,0.11350495368242264,3.857097892919925e-05,,,,,,,,,,,
310,0.092,0.0417,0.1767793893814087,3.879271521925194e-05,,,,,,,,,,,
320,0.094,0.0396,0.10420707613229752,3.900741105997909e-05,,,,,,,,,,,
330,0.097,0.0404,0.09268568456172943,3.921549981569964e-05,,,,,,,,,,,
340,0.1,0.0419,0.09513801336288452,3.941737602990256e-05,,,,,,,,,,,
350,0.103,0.0418,0.0907411202788353,3.9613399927888774e-05,,,,,,,,,,,
360,0.106,0.0405,0.1004548892378807,3.9803901284966735e-05,,,,,,,,,,,
370,0.109,0.0392,0.10704784840345383,3.9989182764544045e-05,,,,,,,,,,,
380,0.112,0.0365,0.09338047355413437,4.01695228109703e-05,,,,,,,,,,,
390,0.115,0.0372,0.08353938162326813,4.034517816655015e-05,,,,,,,,,,,
400,0.118,0.0383,0.1011475995182991,4.051638606983795e-05,,,,,,,,,,,
410,0.121,0.0379,0.08794417977333069,4.068336618244954e-05,,,,,,,,,,,
420,0.124,0.0396,0.09226488322019577,4.0846322283656266e-05,,,,,,,,,,,
430,0.127,0.0366,0.08162147551774979,4.1005443765556194e-05,,,,,,,,,,,
440,0.13,0.038,0.08934491872787476,4.116090695633834e-05,,,,,,,,,,,
450,0.133,0.0376,0.09916248172521591,4.131287629482559e-05,,,,,,,,,,,
460,0.136,0.0379,0.0807768851518631,4.1461505375914065e-05,,,,,,,,,,,
470,0.139,0.0344,0.08431843668222427,4.1606937883572035e-05,,,,,,,,,,,
480,0.142,0.0351,0.09433814883232117,4.174930842560543e-05,,,,,,,,,,,
490,0.145,0.0347,0.08466913551092148,4.1888743282345784e-05,,,,,,,,,,,
500,0.148,0.0343,0.0884147509932518,4.2025361079696794e-05,,,,,,,,,,,
510,0.151,0.0328,0.1253056526184082,4.215927339552889e-05,,,,,,,,,,,
520,0.154,0.0359,0.08973211795091629,4.229058530718885e-05,,,,,,,,,,,
530,0.156,0.0339,0.08541213721036911,4.241939588685567e-05,,,,,,,,,,,
540,0.159,0.0304,0.07296423614025116,4.2545798650593074e-05,,,,,,,,,,,
550,0.162,0.0324,0.07475917041301727,4.2669881966197185e-05,,,,,,,,,,,
560,0.165,0.0319,0.08688165247440338,4.2791729424294956e-05,,,,,,,,,,,
570,0.168,0.0322,0.09910374879837036,4.291142017659664e-05,,,,,,,,,,,
580,0.171,0.0361,0.0728219598531723,4.3029029244730326e-05,,,,,,,,,,,
590,0.174,0.0325,0.07701469957828522,4.314462780267636e-05,,,,,,,,,,,
600,0.177,0.0332,0.07954040914773941,4.325828343546428e-05,,,,,,,,,,,
610,0.18,0.0287,0.07685182988643646,4.3370060376486735e-05,,,,,,,,,,,
620,0.183,0.0341,0.07254629582166672,4.3480019725516966e-05,,,,,,,,,,,
630,0.186,0.0319,0.09324979782104492,4.3588219649282605e-05,,,,,,,,,,,
640,0.189,0.032,0.06879793852567673,4.369471556624413e-05,,,,,,,,,,,
650,0.192,0.0327,0.08274371922016144,4.3799560317047695e-05,,,,,,,,,,,
660,0.195,0.032,0.08231908828020096,4.390280432196468e-05,,,,,,,,,,,
670,0.198,0.0335,0.06869065016508102,4.400449572649225e-05,,,,,,,,,,,
680,0.201,0.0328,0.07281064987182617,4.410468053616758e-05,,,,,,,,,,,
690,0.204,0.0314,0.09057004004716873,4.42034027415404e-05,,,,,,,,,,,
700,0.207,0.0307,0.07136364281177521,4.43007044341538e-05,,,,,,,,,,,
710,0.21,0.031,0.08579383790493011,4.4396625914298635e-05,,,,,,,,,,,
720,0.213,0.0293,0.08341971039772034,4.449120579123177e-05,,,,,,,,,,,
730,0.216,0.031,0.08313629031181335,4.4584481076482204e-05,,,,,,,,,,,
740,0.218,0.0304,0.06484542042016983,4.467648727080908e-05,,,,,,,,,,,
750,0.221,0.0308,0.07028549164533615,4.476725844532313e-05,,,,,,,,,,,
760,0.224,0.0324,0.06272682547569275,4.4856827317235334e-05,,,,,,,,,,,
770,0.227,0.0296,0.08190640807151794,4.4945225320654195e-05,,,,,,,,,,,
