model,step,epoch,eval_pearson,eval_spearmanr,eval_loss,train_loss,eval_runtime,train_runtime
roberta-base-num=10,412.0,1.0,0.6239412643834379,0.6402194244222034,1.3422505855560303,,0.8144,
roberta-base-num=10,824.0,2.0,0.6276469050370626,0.6292623656314849,1.4090853929519653,,0.8525,
roberta-base-num=10,1236.0,3.0,0.6253327059160811,0.6433201852811969,1.5082160234451294,,0.8045,
roberta-base-num=10,1648.0,4.0,0.6183795316674165,0.6211130389304693,1.544865369796753,,0.858,
roberta-base-num=10,2060.0,5.0,0.6340318454553653,0.632327511554332,1.4091026782989502,,0.8493,
roberta-base-num=10,2472.0,6.0,0.63813016370716,0.6404771415752094,1.3568224906921387,,0.8523,
roberta-base-num=10,2884.0,7.0,0.6395811133072038,0.6470952483009773,1.3435840606689453,,0.8468,
roberta-base-num=10,3296.0,8.0,0.6121779683990606,0.6231403857148313,1.5578562021255493,,0.8484,
roberta-base-num=10,3708.0,9.0,0.6360483640811894,0.6329732664571034,1.589644432067871,,0.8504,
roberta-base-num=10,4120.0,10.0,0.6102394678782244,0.6240784993820426,1.5565584897994995,,0.7967,
roberta-base-num=10,4532.0,11.0,0.6426494741019085,0.6525297158040687,1.5362635850906372,,0.8491,
roberta-base-num=10,4944.0,12.0,0.6482583945500311,0.660141099540537,1.4092130661010742,,0.7944,
roberta-base-num=10,5356.0,13.0,0.6590858026070547,0.6625606390357592,1.5584558248519897,,0.7983,
roberta-base-num=10,5768.0,14.0,0.6747558119802517,0.6881899608567811,1.4311686754226685,,0.8484,
roberta-base-num=10,6180.0,15.0,0.6487263603197462,0.6585811940460077,1.4481570720672607,,0.795,
roberta-base-num=10,6592.0,16.0,0.6560346732534108,0.6712857865314139,1.4621440172195435,,0.7961,
roberta-base-num=10,7004.0,17.0,0.6743521314756395,0.6821579048186021,1.3253118991851807,,0.7946,
roberta-base-num=10,7416.0,18.0,0.6766848567475303,0.6885528046036797,1.43397057056427,,0.7969,
roberta-base-num=10,7828.0,19.0,0.6661109889706491,0.6786729425081227,1.3397248983383179,,0.796,
roberta-base-num=10,8240.0,20.0,0.6844531050068554,0.699335973411937,1.3204829692840576,,0.794,
roberta-base-num=10,8652.0,21.0,0.6736932531055135,0.6869283701803882,1.3566120862960815,,0.7967,
roberta-base-num=10,9064.0,22.0,0.686676099610463,0.6988900928400507,1.237085223197937,,0.8457,
roberta-base-num=10,9476.0,23.0,0.6589164237508006,0.6768912280430551,1.3253103494644165,,0.7963,
roberta-base-num=10,9888.0,24.0,0.6693408053676719,0.6822703292631056,1.4162542819976807,,0.8479,
roberta-base-num=10,10300.0,25.0,0.6636751057131024,0.6799711868086648,1.394438624382019,,0.7992,
roberta-base-num=10,10712.0,26.0,0.6790300102994746,0.6863729689243055,1.3690811395645142,,0.7982,
roberta-base-num=10,11124.0,27.0,0.6780746187321236,0.6868456142319991,1.3177376985549927,,0.7956,
roberta-base-num=10,11536.0,28.0,0.687016782800285,0.6983208583585415,1.262137770652771,,0.7984,
roberta-base-num=10,11948.0,29.0,0.6853886663719864,0.6984802272066493,1.2969707250595093,,0.7952,
roberta-base-num=10,12360.0,30.0,0.688149075572429,0.7025982108646227,1.3124816417694092,,0.796,
roberta-base-num=10,12772.0,31.0,0.6779854893745219,0.691427798886615,1.3223505020141602,,0.7961,
roberta-base-num=10,13184.0,32.0,0.6925344342747226,0.7062534460662908,1.3931695222854614,,0.8486,
roberta-base-num=10,13596.0,33.0,0.7077639181971637,0.7156045705113664,1.3001446723937988,,0.7959,
roberta-base-num=10,14008.0,34.0,0.6980283544681931,0.7127415516006939,1.2373911142349243,,0.7965,
roberta-base-num=10,14420.0,35.0,0.6907134031022311,0.7125681635130654,1.2457131147384644,,0.8483,
roberta-base-num=10,14832.0,36.0,0.7171070655660676,0.7292671126085951,1.2203341722488403,,0.7993,
roberta-base-num=10,15244.0,37.0,0.7089667603764518,0.7238376244420394,1.1596287488937378,,0.7941,
roberta-base-num=10,15656.0,38.0,0.715563731772439,0.731703690885438,1.1950335502624512,,0.8491,
roberta-base-num=10,16068.0,39.0,0.712119709473277,0.7259847396720602,1.1832129955291748,,0.7953,
roberta-base-num=10,16480.0,40.0,0.7030279697200819,0.714901583926229,1.2525333166122437,0.2470622408158571,0.7926,2013.1083
roberta-base-num=20,820.0,0.9993906154783668,0.6612798243363125,0.6653565106107745,1.2336480617523193,,1.5785,
roberta-base-num=20,1640.0,1.999390615478367,0.6323080113982251,0.6396910917652072,1.3399388790130615,,1.6237,
roberta-base-num=20,2460.0,2.999390615478367,0.6654506536799536,0.6631111601608854,1.247873067855835,,1.5635,
roberta-base-num=20,3280.0,3.999390615478367,0.6410169053102877,0.6430453389598536,1.4869328737258911,,1.5608,
roberta-base-num=20,4100.0,4.999390615478367,0.6613940826441314,0.6523995529539782,1.2181007862091064,,1.5684,
roberta-base-num=20,4920.0,5.999390615478367,0.6644030472980499,0.6702055230243394,1.6348859071731567,,1.5501,
roberta-base-num=20,5740.0,6.999390615478367,0.6667616351203584,0.6666832310077828,1.4489744901657104,,1.5666,
roberta-base-num=20,6560.0,7.999390615478367,0.6798242255315513,0.6856945793689032,1.2630763053894043,,1.5516,
roberta-base-num=20,7380.0,8.999390615478367,0.7038981972137128,0.7021502595258915,1.1723687648773193,,1.5546,
roberta-base-num=20,8200.0,9.999390615478367,0.7123445470059485,0.7192088676426869,1.0929765701293945,,1.5458,
roberta-base-num=20,9020.0,10.999390615478367,0.7083863443904885,0.7118205792730711,1.2115463018417358,,1.5519,
roberta-base-num=20,9840.0,11.999390615478367,0.67662557032658,0.6831332444539288,1.3747836351394653,,1.546,
